NodeID,Latitude,Longitude,Neighbor1,Distance1,Neighbor2,Distance2,Neighbor3,Distance3,Neighbor4,Distance4,Neighbor5,Distance5,Neighbor6,Distance6
11422,20.3665220739,-96.8776759795,11423,3,38074,6,11421,2,N/A,N/A,N/A,N/A,N/A,N/A
11423,20.4140281901,-96.9093092714,11424,4,38074,5,11422,3,N/A,N/A,N/A,N/A,N/A,N/A
11424,20.4810325976,-96.9540082041,11423,4,11425,6,38074,8,N/A,N/A,N/A,N/A,N/A,N/A
11425,20.5751261053,-97.0166165026,11424,6,40849,14,11426,9,38074,13,N/A,N/A,N/A,N/A
11426,20.7052879569,-97.1020398586,11425,9,11427,8,40849,8,N/A,N/A,N/A,N/A,N/A,N/A
11427,20.8198875728,-97.1751578532,40048,7,40849,8,11426,8,11428,5,N/A,N/A,N/A,N/A
11428,20.9022206428,-97.2259728359,40048,3,11427,5,11429,4,N/A,N/A,N/A,N/A,N/A,N/A
11429,20.9611455527,-97.2612700385,42071,3,40048,4,11428,4,11430,2,N/A,N/A,N/A,N/A
11430,21.0032487591,-97.2858790099,42071,2,11431,2,11429,2,N/A,N/A,N/A,N/A,N/A,N/A
11431,21.0333597226,-97.3031437119,42071,3,11432,1,11430,2,N/A,N/A,N/A,N/A,N/A,N/A
11432,21.0619341418,-97.3192580182,42071,4,11431,1,35105,11,11433,2,N/A,N/A,N/A,N/A
11433,21.1018064526,-97.3413011672,11432,2,35105,11,11434,3,N/A,N/A,N/A,N/A,N/A,N/A
11434,21.1582622431,-97.3716286913,35105,12,11435,5,11433,3,N/A,N/A,N/A,N/A,N/A,N/A
11435,21.2383874816,-97.4128869178,39704,14,35105,15,11434,5,11436,7,N/A,N/A,N/A,N/A
11436,21.3522103564,-97.4678779395,39704,11,11435,7,11437,10,N/A,N/A,N/A,N/A,N/A,N/A
11437,21.508037263,-97.536214463,39704,13,41083,15,11436,10,11438,8,N/A,N/A,N/A,N/A
11438,21.639078016,-97.5873952006,11439,5,41083,10,11437,8,N/A,N/A,N/A,N/A,N/A,N/A
11439,21.7334354687,-97.6206494606,11440,4,41083,8,11438,5,N/A,N/A,N/A,N/A,N/A,N/A
11440,21.8009147753,-97.6425646195,11439,4,11441,3,41083,9,N/A,N/A,N/A,N/A,N/A,N/A
11441,21.8491049728,-97.657255388,41056,6,11442,2,41083,11,11440,3,N/A,N/A,N/A,N/A
11442,21.8889702095,-97.6688008634,41056,4,11441,2,11443,3,N/A,N/A,N/A,N/A,N/A,N/A
11443,21.9419202793,-97.6832936486,41056,3,11442,3,11444,4,N/A,N/A,N/A,N/A,N/A,N/A
11444,22.016931772,-97.7022143871,41056,6,11443,4,11445,6,38744,15,N/A,N/A,N/A,N/A
11445,22.1229705952,-97.7258294458,38744,13,11444,6,11446,9,N/A,N/A,N/A,N/A,N/A,N/A
11446,22.2733214377,-97.7532493833,11447,9,38744,14,11445,9,N/A,N/A,N/A,N/A,N/A,N/A
11447,22.4353723063,-97.7751595007,11448,7,39786,16,11446,9,38744,20,N/A,N/A,N/A,N/A
11448,22.5519402907,-97.7861920818,11447,7,11449,4,39786,10,N/A,N/A,N/A,N/A,N/A,N/A
11449,22.6348852713,-97.7916959318,11448,4,39786,7,11450,3,N/A,N/A,N/A,N/A,N/A,N/A
11450,22.6939437863,-97.7944447782,11449,3,39786,6,11451,2,N/A,N/A,N/A,N/A,N/A,N/A
11451,22.7359207447,-97.7958129123,11450,2,39786,6,11452,2,N/A,N/A,N/A,N/A,N/A,N/A
11452,22.77180516,-97.7966010613,39786,7,11451,2,11453,2,N/A,N/A,N/A,N/A,N/A,N/A
11453,22.8204453665,-97.7971434057,39786,9,11452,2,11454,4,N/A,N/A,N/A,N/A,N/A,N/A
11454,22.8888683158,-97.7969986172,11455,5,39786,13,11453,4,42254,15,N/A,N/A,N/A,N/A
11455,22.985123002,-97.7953217647,11456,8,42254,11,11454,5,N/A,N/A,N/A,N/A,N/A,N/A
11456,23.120537036,-97.7909472262,11455,8,11457,10,42254,9,N/A,N/A,N/A,N/A,N/A,N/A
11457,23.2889285154,-97.7841838236,38416,8,11456,10,11458,7,42254,14,N/A,N/A,N/A,N/A
11458,23.4163429629,-97.7796613441,38416,5,11457,7,11459,5,N/A,N/A,N/A,N/A,N/A,N/A
11459,23.5068872587,-97.7775035694,41431,6,38416,8,11458,5,11460,3,N/A,N/A,N/A,N/A
11460,23.5713212578,-97.7767810114,41431,4,11459,3,11461,2,N/A,N/A,N/A,N/A,N/A,N/A
11461,23.6170802066,-97.7767794392,41431,5,11460,2,11462,1,N/A,N/A,N/A,N/A,N/A,N/A
11462,23.6503145509,-97.7770824455,41431,6,11463,2,39682,5,11461,1,N/A,N/A,N/A,N/A
11463,23.6868580249,-97.7777198608,11464,3,39682,4,11462,2,N/A,N/A,N/A,N/A,N/A,N/A
11464,23.7382104231,-97.7790813525,11463,3,11465,4,39682,4,N/A,N/A,N/A,N/A,N/A,N/A
11465,23.8104469191,-97.7817049642,11464,4,11466,6,39682,7,38221,11,N/A,N/A,N/A,N/A
11466,23.9120226132,-97.7861982187,11465,6,11467,8,38221,7,N/A,N/A,N/A,N/A,N/A,N/A
11467,24.0549413405,-97.7924223572,11466,8,11468,10,38221,8,N/A,N/A,N/A,N/A,N/A,N/A
11468,24.2377003586,-97.7962141475,11469,8,11467,10,37420,24,38221,17,N/A,N/A,N/A,N/A
11469,24.3789918025,-97.7924224447,11470,6,37420,21,11468,8,N/A,N/A,N/A,N/A,N/A,N/A
11470,24.4791741555,-97.7843970731,11471,4,37420,20,11469,6,N/A,N/A,N/A,N/A,N/A,N/A
11471,24.5534257207,-97.7748425139,11472,5,37420,21,11470,4,N/A,N/A,N/A,N/A,N/A,N/A
11472,24.64123058,-97.7593134668,11471,5,11473,7,37420,22,N/A,N/A,N/A,N/A,N/A,N/A
11473,24.763752965,-97.7309689885,11472,7,11474,10,38596,14,37420,26,N/A,N/A,N/A,N/A
11474,24.9318514584,-97.682349844,11473,10,11475,9,38596,7,N/A,N/A,N/A,N/A,N/A,N/A
11475,25.0855667357,-97.6317386462,11474,9,38596,10,11476,6,N/A,N/A,N/A,N/A,N/A,N/A
11476,25.1944141596,-97.5945045203,36824,21,11475,6,38596,15,11477,4,N/A,N/A,N/A,N/A
11477,25.2717539423,-97.5682167303,36824,19,11476,4,11478,3,N/A,N/A,N/A,N/A,N/A,N/A
11478,25.3268672776,-97.5498815972,11479,2,36824,19,11477,3,N/A,N/A,N/A,N/A,N/A,N/A
11479,25.3660864506,-97.5371472388,11480,1,11478,2,39028,9,36824,19,N/A,N/A,N/A,N/A
11480,25.3944537585,-97.5281394561,11479,1,11481,1,39028,7,N/A,N/A,N/A,N/A,N/A,N/A
11481,25.4247239878,-97.5187389824,11480,1,11482,2,39028,6,N/A,N/A,N/A,N/A,N/A,N/A
11482,25.4672689369,-97.5059085766,11481,2,11483,3,39028,4,N/A,N/A,N/A,N/A,N/A,N/A
11483,25.5273828982,-97.4885655188,11482,3,39028,4,11484,5,N/A,N/A,N/A,N/A,N/A,N/A
11484,25.6121955374,-97.4657313099,11483,5,39028,8,11485,7,42292,21,N/A,N/A,N/A,N/A
11485,25.7322364114,-97.4368804174,11484,7,42292,17,11486,10,N/A,N/A,N/A,N/A,N/A,N/A
11486,25.8984477243,-97.4041846883,11487,8,42292,16,11485,10,N/A,N/A,N/A,N/A,N/A,N/A
11487,26.0430985895,-97.3831903421,38984,14,11486,8,42292,20,11488,6,N/A,N/A,N/A,N/A
11488,26.1464842904,-97.3727804542,11487,6,38984,10,11489,4,N/A,N/A,N/A,N/A,N/A,N/A
11489,26.2200952276,-97.3678416743,38984,8,11490,3,11488,4,N/A,N/A,N/A,N/A,N/A,N/A
11490,26.2731462111,-97.365610073,38984,8,11489,3,11491,3,N/A,N/A,N/A,N/A,N/A,N/A
11491,26.3290443219,-97.3644480353,38984,10,11490,3,11492,4,N/A,N/A,N/A,N/A,N/A,N/A
11492,26.4073797649,-97.3645361129,38984,13,42209,21,11491,4,11493,6,N/A,N/A,N/A,N/A
11493,26.5177263665,-97.3670739304,42209,17,11492,6,11494,9,N/A,N/A,N/A,N/A,N/A,N/A
11494,26.6726758076,-97.3726640375,11495,11,42209,16,11493,9,N/A,N/A,N/A,N/A,N/A,N/A
11495,26.864458374,-97.3768583658,40400,20,42209,20,11494,11,11496,8,N/A,N/A,N/A,N/A
11496,27.0089122393,-97.3731234692,11495,8,40400,14,11497,6,N/A,N/A,N/A,N/A,N/A,N/A
11497,27.1112611044,-97.3644757326,40400,11,11498,4,11496,6,N/A,N/A,N/A,N/A,N/A,N/A
11498,27.1905845464,-97.353269913,40400,10,11497,4,11499,6,N/A,N/A,N/A,N/A,N/A,N/A
11499,27.2907451909,-97.3329541883,40400,12,11498,6,11500,8,N/A,N/A,N/A,N/A,N/A,N/A
11500,27.4296237064,-97.2936462852,40400,18,41482,25,11499,8,11501,11,N/A,N/A,N/A,N/A
11501,27.6095362077,-97.2240237487,41482,15,11500,11,11502,9,N/A,N/A,N/A,N/A,N/A,N/A
11502,27.7508590925,-97.1548944148,11503,6,41482,9,11501,9,N/A,N/A,N/A,N/A,N/A,N/A
11503,27.8488643513,-97.0996099377,11504,4,41482,9,11502,6,N/A,N/A,N/A,N/A,N/A,N/A
11504,27.9172109255,-97.057519347,11503,4,11505,3,41482,12,N/A,N/A,N/A,N/A,N/A,N/A
11505,27.9651465153,-97.026268078,11504,3,41482,14,11506,2,N/A,N/A,N/A,N/A,N/A,N/A
11506,28.0054748234,-96.9988652136,11505,2,41482,16,11507,3,N/A,N/A,N/A,N/A,N/A,N/A
11507,28.0591973361,-96.9606758483,41482,19,11506,3,11508,5,38734,30,N/A,N/A,N/A,N/A
11508,28.1333846097,-96.9043700004,11507,5,11509,7,38734,26,N/A,N/A,N/A,N/A,N/A,N/A
11509,28.2344238185,-96.8197124889,11510,10,11508,7,38734,21,N/A,N/A,N/A,N/A,N/A,N/A
11510,28.3681619297,-96.6888858479,11511,11,11509,10,38734,17,N/A,N/A,N/A,N/A,N/A,N/A
11511,28.4969590509,-96.5322107897,11512,8,11510,11,38734,18,N/A,N/A,N/A,N/A,N/A,N/A
11512,28.5772918878,-96.408998853,11511,8,11513,6,38734,22,N/A,N/A,N/A,N/A,N/A,N/A
11513,28.6308351233,-96.3082314082,11512,6,11514,7,38734,26,N/A,N/A,N/A,N/A,N/A,N/A
11514,28.6885978568,-96.1760651168,11513,7,11515,10,37564,33,38734,31,N/A,N/A,N/A,N/A
11515,28.75952169,-95.9847438342,11514,10,37564,24,11516,14,N/A,N/A,N/A,N/A,N/A,N/A
11516,28.8510382633,-95.7393353302,11515,14,37564,16,11517,10,N/A,N/A,N/A,N/A,N/A,N/A
11517,28.9390027813,-95.5588522551,11518,8,37564,18,11516,10,N/A,N/A,N/A,N/A,N/A,N/A
11518,29.0293711577,-95.4299544639,39271,31,11519,11,37564,24,11517,8,N/A,N/A,N/A,N/A
11519,29.1688519862,-95.2838436977,39271,22,11520,15,11518,11,N/A,N/A,N/A,N/A,N/A,N/A
11520,29.3656822077,-95.1004972802,39271,17,11519,15,11521,12,N/A,N/A,N/A,N/A,N/A,N/A
11521,29.5118226997,-94.9303679407,39271,21,11520,12,11522,10,N/A,N/A,N/A,N/A,N/A,N/A
11522,29.5978498019,-94.7624176491,39271,26,37608,21,11521,10,11523,12,N/A,N/A,N/A,N/A
11523,29.6540819934,-94.5385570378,37608,11,11522,12,11524,9,N/A,N/A,N/A,N/A,N/A,N/A
11524,29.6736687513,-94.3611699457,37608,7,11523,9,11525,6,N/A,N/A,N/A,N/A,N/A,N/A
11525,29.6799333381,-94.2345371987,37608,9,11524,6,11526,4,N/A,N/A,N/A,N/A,N/A,N/A
11526,29.6819201647,-94.144259537,11527,3,37608,13,39665,6,11525,4,N/A,N/A,N/A,N/A
11527,29.6825015012,-94.080159839,11528,2,39665,4,11526,3,N/A,N/A,N/A,N/A,N/A,N/A
11528,29.6826337445,-94.0345612714,11527,2,39665,3,11529,1,N/A,N/A,N/A,N/A,N/A,N/A
11529,29.6826328412,-94.002194405,11528,1,39665,4,11530,1,N/A,N/A,N/A,N/A,N/A,N/A
11530,29.6826008004,-93.979134747,36328,1,39665,4,11531,0,11529,1,N/A,N/A,N/A,N/A
11531,29.6825681061,-93.9627687652,36328,1,11530,0,11532,0,N/A,N/A,N/A,N/A,N/A,N/A
11532,29.6825419409,-93.9511320627,36328,0,11531,0,11533,0,N/A,N/A,N/A,N/A,N/A,N/A
11533,29.6825226345,-93.9428653246,36328,0,11532,0,11534,0,N/A,N/A,N/A,N/A,N/A,N/A
11534,29.6825088157,-93.9369877397,11535,0,36328,0,11533,0,N/A,N/A,N/A,N/A,N/A,N/A
11535,29.682498574,-93.9326081747,36328,1,11534,0,11536,0,N/A,N/A,N/A,N/A,N/A,N/A
11536,29.6824864992,-93.9273897114,11535,0,36328,1,11537,0,37739,0,N/A,N/A,N/A,N/A
11537,29.6824697852,-93.9200467097,11536,0,11538,0,37739,0,N/A,N/A,N/A,N/A,N/A,N/A
11538,29.6824469087,-93.9097151442,11539,0,11537,0,37739,0,N/A,N/A,N/A,N/A,N/A,N/A
11539,29.682416234,-93.8951731705,11538,0,37739,1,42324,3,11540,1,N/A,N/A,N/A,N/A
11540,29.6823768428,-93.8747313229,11539,1,42324,2,11541,1,N/A,N/A,N/A,N/A,N/A,N/A
11541,29.6823308019,-93.8459797604,11542,2,11540,1,42324,3,N/A,N/A,N/A,N/A,N/A,N/A
11542,29.6822900646,-93.805474929,11543,2,42324,5,11541,2,N/A,N/A,N/A,N/A,N/A,N/A
11543,29.6822959634,-93.7485642325,37048,22,11544,4,42324,7,11542,2,N/A,N/A,N/A,N/A
11544,29.6824723858,-93.6684658449,11543,4,37048,24,11545,5,N/A,N/A,N/A,N/A,N/A,N/A
11545,29.6831724258,-93.5559489901,40055,22,11544,5,11546,8,37048,27,N/A,N/A,N/A,N/A
11546,29.6853921385,-93.3974549406,40055,16,11545,8,11547,8,N/A,N/A,N/A,N/A,N/A,N/A
11547,29.6898926427,-93.2286317816,40055,13,11546,8,11548,6,N/A,N/A,N/A,N/A,N/A,N/A
11548,29.6948270697,-93.1077699654,40055,14,11547,6,11549,4,N/A,N/A,N/A,N/A,N/A,N/A
11549,29.6993519344,-93.0219663461,40055,16,38130,7,11548,4,11550,3,N/A,N/A,N/A,N/A
11550,29.7031407253,-92.9609709967,11551,2,38130,4,11549,3,N/A,N/A,N/A,N/A,N/A,N/A
11551,29.706126642,-92.9178456634,11552,1,38130,3,11550,2,N/A,N/A,N/A,N/A,N/A,N/A
11552,29.7086788006,-92.8837045928,11551,1,11553,2,38130,4,N/A,N/A,N/A,N/A,N/A,N/A
11553,29.7121112365,-92.8406491199,11552,2,38130,5,11554,3,N/A,N/A,N/A,N/A,N/A,N/A
11554,29.7172479793,-92.7798140983,24751,20,11553,3,38130,7,11555,4,N/A,N/A,N/A,N/A
11555,29.7247029933,-92.6943162687,24751,19,11554,4,11556,6,N/A,N/A,N/A,N/A,N/A,N/A
11556,29.7347266145,-92.5738964353,24751,18,11555,6,11557,8,N/A,N/A,N/A,N/A,N/A,N/A
