,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
486,64.62734991,10.93973424,3708,8,2222,5,1,6,1167,6,,,,,,,,,,
1655,64.55880212,10.82972022,3869,13,386,15,1178,11,1279,11,703,13,1634,15,3622,5,1285,5,,
1528,64.46216248,10.6744068,688,12,,,,,,,,,,,,,,,,
3486,64.33681675,10.47089755,464,15,65,5,1235,11,,,,,,,,,,,,
2685,64.23769194,10.30676859,2843,8,3869,6,2940,12,2177,13,295,13,,,,,,,,
2177,64.1677919,10.18853859,3165,9,3645,13,772,6,1569,7,3542,14,2685,13,2153,10,,,,
2277,64.11850597,10.10362205,325,10,2275,10,2889,14,2435,12,2589,11,,,,,,,,
1095,64.08366355,10.04269718,644,13,3869,11,2051,7,1875,15,1605,7,3404,14,720,6,,,,
2478,64.05900291,9.999084601,1374,8,3404,13,,,,,,,,,,,,,,
3622,64.0368471,9.959530451,2649,5,2166,12,386,11,1655,5,3047,5,139,14,,,,,,
2229,64.00651081,9.904769872,2932,13,1279,14,,,,,,,,,,,,,,
3404,63.96408281,9.826939463,772,14,1095,14,2478,13,852,8,2839,11,2153,11,,,,,,
2393,63.90506763,9.716051307,2051,5,,,,,,,,,,,,,,,,
2401,63.82330801,9.556712979,2166,9,2222,14,295,13,,,,,,,,,,,,
3047,63.71133448,9.325691666,504,13,3622,5,1634,13,2241,8,720,8,,,,,,,,
1,63.59332981,9.062213631,464,6,486,6,,,,,,,,,,,,,,
1413,63.51214965,8.865849436,2241,7,3120,9,2589,9,,,,,,,,,,,,
3120,63.45654462,8.722580246,386,5,1413,9,353,9,1036,7,,,,,,,,,,
295,63.41810342,8.618653252,1479,9,2843,12,2685,13,2401,13,2940,14,1167,12,3960,9,,,,
139,63.38403913,8.522862212,500,7,3622,14,1244,11,,,,,,,,,,,,
674,63.3384751,8.389803146,2435,12,1387,13,852,5,2601,12,,,,,,,,,,
2222,63.27572639,8.199894936,3869,14,115,14,486,5,2401,14,2881,13,,,,,,,,
2589,63.18848185,7.93152826,504,8,2277,11,1413,9,,,,,,,,,,,,
2889,63.07061179,7.584061473,2277,14,1167,5,2881,13,1439,10,,,,,,,,,,
2443,62.96911618,7.318204817,2299,11,2166,15,2574,10,1634,12,1167,14,,,,,,,,
1439,62.89122158,7.141388952,3645,9,1374,5,2889,10,2646,9,,,,,,,,,,
2940,62.82338211,7.007563831,1394,5,2685,12,295,14,1235,6,,,,,,,,,,
2881,62.72680003,6.848755517,2574,5,3542,13,2222,13,2889,13,,,,,,,,,,
2241,62.57847392,6.66594514,1374,10,688,10,2781,13,3047,8,1413,7,,,,,,,,
1605,62.3735518,6.495681915,2299,5,2051,14,3389,5,1095,7,2433,6,1126,15,2646,15,,,,
2839,62.20880315,6.4013531,1683,6,3404,11,1285,10,1387,12,1036,14,1634,5,,,,,,
2435,62.08961653,6.348472598,2166,10,2932,9,2277,12,674,12,1225,12,720,14,,,,,,
852,61.96918814,6.304617444,1374,6,1394,12,1279,7,3404,8,674,5,735,15,,,,,,
2357,61.79933175,6.255142318,688,12,,,,,,,,,,,,,,,,
1225,61.55888551,6.203013812,2435,12,703,7,720,9,,,,,,,,,,,,
2601,61.21861831,6.15276735,3869,12,674,12,,,,,,,,,,,,,,
156,60.73764731,6.11310512,3869,8,2574,13,2781,14,3514,7,,,,,,,,,,
65,60.17511755,6.102924968,3486,5,158,9,502,15,,,,,,,,,,,,
1036,59.7628636,6.120283155,325,7,1178,10,772,12,3120,7,2839,14,3708,9,720,12,1208,7,1387,6
2433,59.46913188,6.14912174,1394,7,1605,6,1628,13,1244,10,,,,,,,,,,
1126,59.26024499,6.181965698,2051,6,1605,15,,,,,,,,,,,,,,
1208,59.11192149,6.214516932,1036,7,703,15,2646,8,,,,,,,,,,,,
1285,59.0019819,6.245482433,1655,5,2839,10,,,,,,,,,,,,,,
353,58.87243249,6.292215762,688,15,3120,9,703,7,1628,5,2646,7,,,,,,,,
720,58.69386836,6.384137348,1095,6,3047,8,2435,14,1225,9,1036,12,,,,,,,,
2238,58.47347721,6.58619752,2574,10,1683,7,,,,,,,,,,,,,,
1628,58.33370774,6.855333949,1705,14,2275,8,688,8,1875,14,2433,13,353,5,735,12,,,,
3960,58.25535199,7.196041858,1479,5,688,14,295,9,1244,8,,,,,,,,,,
3708,58.23611639,7.675322127,3869,8,2378,11,2574,6,2781,6,486,8,1036,9,,,,,,
2646,58.27537396,8.047752684,2649,7,3542,10,1439,9,1605,15,1208,8,353,7,3199,13,502,14,,
502,58.32988628,8.300480962,2378,5,65,15,2646,14,,,,,,,,,,,,
2153,58.40861248,8.545432559,2649,14,772,10,2177,10,3404,11,1167,10,1235,5,,,,,,
1167,58.53154968,8.827071131,486,6,295,12,2889,5,2443,14,2153,10,1244,12,,,,,,
1244,58.63683683,9.025675826,139,11,2433,10,3960,8,1167,12,1387,11,,,,,,,,
1387,58.71542224,9.161042922,2166,14,674,13,2839,12,1036,6,1244,11,3514,5,,,,,,
735,58.77212419,9.2547842,504,9,852,15,1628,12,,,,,,,,,,,,
3199,58.81278306,9.320783435,2051,13,1683,9,2646,13,,,,,,,,,,,,
158,58.84180469,9.367526804,688,15,65,9,,,,,,,,,,,,,,
1235,58.86245235,9.400684377,1705,15,2205,14,3486,11,2940,6,2153,5,,,,,,,,
1634,58.87712147,9.424221955,1655,15,3047,13,2443,12,2839,5,3514,6,,,,,,,,
558,58.8875551,9.440964534,504,8,,,,,,,,,,,,,,,,
3514,58.89498125,9.45288555,156,7,1387,5,1634,6,,,,,,,,,,,,
703,58.90024879,9.461345027,1655,13,1225,7,1208,15,353,7,,,,,,,,,,
3641,58.90399845,9.467369204,325,14,640,7,2906,12,3613,13,2430,9,,,,,,,,
2380,58.90666299,9.471651399,604,7,4,8,2994,10,1382,6,3618,11,1804,8,3114,13,3829,6,947,10
2313,58.90855486,9.474692583,3644,9,2566,14,2118,11,,,,,,,,,,,,
2125,58.90992602,9.476897132,2118,15,1117,6,1824,8,1502,8,1080,6,498,13,,,,,,
692,58.91142064,9.479300599,1602,11,1025,15,3114,11,2614,7,,,,,,,,,,
2906,58.9135209,9.482678772,3641,12,90,9,947,6,,,,,,,,,,,,
1970,58.91647793,9.487436625,2720,13,1868,11,92,7,3303,5,,,,,,,,,,
3999,58.92063558,9.494129764,1117,7,2566,14,2078,7,3817,15,3830,7,,,,,,,,
1868,58.92648093,9.503547446,1970,11,2566,10,4,13,2152,13,1510,12,1824,6,1118,11,,,,
3303,58.93471234,9.51682665,1970,5,2078,13,2059,11,2817,13,1352,7,1745,11,,,,,,
3817,58.94629235,9.535547984,3999,15,2966,14,687,8,255,10,,,,,,,,,,
1352,58.96251225,9.561866083,3303,7,2697,10,3644,6,2614,9,,,,,,,,,,
2614,58.98534096,9.599144478,692,7,1352,9,3847,13,1962,9,3226,6,,,,,,,,
3618,59.01720722,9.651785581,2380,11,2994,7,3830,13,1311,15,2195,15,3280,7,,,,,,
3012,59.06177635,9.727033628,2078,11,1576,10,,,,,,,,,,,,,,
2118,59.12307886,9.835118276,2313,11,2125,15,749,6,1494,7,3847,12,3010,7,2142,12,,,,
3617,59.20566539,9.9952651,2450,6,1118,15,,,,,,,,,,,,,,
27,59.30504076,10.24688356,3184,12,989,5,2720,10,3613,15,,,,,,,,,,
2878,59.31531096,10.64687003,1737,11,3175,14,1025,12,2172,11,2697,7,2195,8,1602,12,,,,
2430,59.16534566,10.88778834,3641,9,2720,7,640,14,,,,,,,,,,,,
2867,59.04204755,11.00376966,640,7,3010,11,3418,6,1532,6,,,,,,,,,,
2720,58.95188157,11.07403961,1970,13,27,10,2430,7,923,11,2195,12,1525,14,,,,,,
1525,58.88710374,11.12024127,2720,14,1494,10,1117,10,1804,8,604,14,1824,14,,,,,,
2566,58.84083333,11.15175948,2313,14,3999,14,1868,10,1745,15,3186,11,4,5,,,,,,
1745,58.80789936,11.17363697,3303,11,2566,15,1117,9,1650,5,2817,14,1804,15,,,,,,
498,58.78445689,11.18898938,2125,13,252,8,3545,5,,,,,,,,,,,,
3280,58.76778084,11.19981978,3618,7,252,14,368,12,2522,11,,,,,,,,,,
3847,58.75592528,11.20748076,2614,13,2118,12,1112,15,2697,13,,,,,,,,,,
1962,58.74743261,11.21295143,2614,9,1532,5,2450,6,923,13,255,13,,,,,,,,
3381,58.73887614,11.21845013,2927,11,1080,13,1532,6,,,,,,,,,,,,
2172,58.72689232,11.22613018,2878,11,2927,15,2142,15,252,6,2402,5,3114,7,,,,,,
2994,58.71004268,11.23688786,2380,10,3618,7,1080,7,3829,11,,,,,,,,,,
2402,58.68632266,11.25195445,2172,5,82,12,3830,14,3732,5,640,7,4,15,1510,5,,,,
3644,58.65286178,11.27306289,2313,9,1352,6,1502,14,1858,9,2033,8,2817,8,,,,,,
1033,58.60592025,11.30241255,1080,7,923,14,687,10,619,8,1737,8,3545,12,3226,13,947,12,,
1858,58.53969476,11.34336325,3644,9,3010,15,3829,15,1311,10,,,,,,,,,,
619,58.44641464,11.40031917,1033,8,252,11,2152,9,3226,13,,,,,,,,,,
1382,58.31535732,11.47940463,2380,6,1112,5,687,13,2535,14,946,5,,,,,,,,
1576,58.18528637,11.55749405,3012,10,2522,6,1517,15,2535,15,,,,,,,,,,
2152,58.09294005,11.61309684,1868,13,619,9,3830,5,,,,,,,,,,,,
1118,58.02720859,11.65292123,1868,11,3617,15,3937,5,1737,12,3829,14,,,,,,,,
1602,57.98052172,11.68139071,692,11,2878,12,1502,8,2817,12,946,11,,,,,,,,
3732,57.94739909,11.70170226,2402,5,3937,10,1025,11,1311,10,,,,,,,,,,
1112,57.92385562,11.71620449,3847,15,1382,5,1517,9,1804,10,749,9,,,,,,,,
3613,57.90713823,11.72653742,3641,13,27,15,946,6,,,,,,,,,,,,
2817,57.89525206,11.73390306,3303,13,1745,14,3644,8,1602,12,2059,5,3010,10,,,,,,
2612,57.88567095,11.73985212,1025,15,2697,5,3829,10,3186,6,2966,9,,,,,,,,
604,57.87311173,11.74766606,2380,7,1525,14,2033,14,,,,,,,,,,,,
3226,57.85544266,11.75868708,2614,6,1033,13,619,13,,,,,,,,,,,,
3545,57.83058246,11.77424226,498,5,1033,12,2966,10,82,6,2059,15,1311,8,989,10,252,15,,
1025,57.79565182,11.79617683,692,15,2878,12,3732,11,2612,15,,,,,,,,,,
1532,57.74650663,11.82714213,2867,6,1962,5,3381,6,640,9,3937,8,,,,,,,,
3184,57.67743946,11.87072809,27,12,1302,12,,,,,,,,,,,,,,
3186,57.58013772,11.93188256,2566,11,2612,6,,,,,,,,,,,,,,
989,57.44324631,12.01636882,27,5,3545,10,2078,12,,,,,,,,,,,,
2927,57.30628975,12.09760937,3381,11,2172,15,1824,9,,,,,,,,,,,,
1737,57.20861393,12.1526759,2878,11,1033,8,1118,12,82,6,,,,,,,,,,
3829,57.13877632,12.19023619,2380,6,2994,11,1858,15,1118,14,2612,10,2522,12,2142,10,1650,13,,
946,57.08901155,12.21595923,1382,5,1602,11,3613,6,1502,7,3937,11,,,,,,,,
2059,57.05360915,12.23368908,3303,11,2817,5,3545,15,3937,13,90,10,255,13,,,,,,
2033,57.02764032,12.24637822,3644,8,604,14,2535,9,,,,,,,,,,,,
923,56.99813193,12.26047177,2720,11,1962,13,1033,14,1311,6,90,6,,,,,,,,
368,56.95659365,12.27978041,3280,12,3418,8,,,,,,,,,,,,,,
1302,56.89799849,12.30612178,3184,12,,,,,,,,,,,,,,,,
1494,56.81535459,12.34192581,2118,7,1525,10,255,12,1080,8,1517,13,,,,,,,,
1117,56.69885749,12.39089946,2125,6,3999,7,1525,10,1745,9,,,,,,,,,,
640,56.53885106,12.45838708,3641,7,2430,14,2867,7,2402,7,1532,9,,,,,,,,
3830,56.39633775,12.52221099,3999,7,3618,13,2402,14,2152,5,1502,6,2312,9,,,,,,
90,56.29576384,12.57132,2906,9,2059,10,923,6,3010,10,1650,6,,,,,,,,
3010,56.22475617,12.60881976,2118,7,2867,11,1858,15,2817,10,90,10,2312,5,,,,,,
749,56.17446657,12.63709297,2118,6,1112,9,1517,7,,,,,,,,,,,,
1080,56.1298379,12.66353803,2125,6,3381,13,2994,7,1033,7,1494,8,,,,,,,,
3175,56.06902184,12.70188991,2878,14,4,8,,,,,,,,,,,,,,
2142,55.98444724,12.76049664,2118,12,2172,15,3829,10,92,10,,,,,,,,,,
252,55.868335,12.85439109,498,8,3280,14,2172,6,619,11,3545,15,1650,9,,,,,,
255,55.71593197,13.01987151,3817,10,1962,13,2059,13,1494,12,3418,8,3937,10,1804,7,1311,14,,
2966,55.58313217,13.36038099,3817,14,2612,9,3545,10,4,12,1311,13,,,,,,,,
1311,55.65637223,13.78391752,3618,15,1858,10,3732,10,3545,8,923,6,255,14,2966,13,2522,5,,
1502,55.76026487,14.07054295,2125,8,3644,14,1602,8,946,7,3830,6,1650,8,2450,6,,,,
1517,55.83591933,14.27218043,1576,15,1112,9,1494,13,749,7,2450,9,,,,,,,,
1650,55.88718822,14.4184417,1745,5,3829,13,90,6,252,9,1502,8,,,,,,,,
687,55.92425969,14.53474334,3817,8,1033,10,1382,13,,,,,,,,,,,,
1510,55.96750895,14.68524087,1868,12,2402,5,2697,13,,,,,,,,,,,,
1824,56.02401026,14.90148953,2125,8,1868,6,1525,14,2927,9,2195,14,,,,,,,,
2535,56.10169825,15.20769478,1382,14,1576,15,2033,9,,,,,,,,,,,,
2195,56.2061435,15.5587704,3618,15,2878,8,2720,12,1824,14,1460,13,,,,,,,,
1460,56.30474256,15.79432272,2195,13,,,,,,,,,,,,,,,,
2522,56.42533463,15.9875963,3280,11,1576,6,3829,12,1311,5,2697,12,,,,,,,,
1804,56.60353357,16.17848487,2380,8,1525,8,1745,15,1112,10,255,7,,,,,,,,
3114,56.75266463,16.29256635,2380,13,692,11,2172,7,,,,,,,,,,,,
2450,56.8615974,16.36002555,3617,6,1962,6,1502,6,1517,9,947,5,,,,,,,,
947,56.93985106,16.40266568,2380,10,2906,6,1033,12,2450,5,,,,,,,,,,
82,56.99586861,16.43087693,2402,12,3545,6,1737,6,92,12,,,,,,,,,,
3937,57.03570132,16.44997244,1118,5,3732,10,1532,8,946,11,2059,13,255,10,,,,,,
3418,57.06484278,16.46350689,2867,6,368,8,255,8,,,,,,,,,,,,
92,57.09736375,16.47822647,1970,7,2142,10,82,12,,,,,,,,,,,,
2078,57.14316256,16.4983369,3999,7,3303,13,3012,11,989,12,2697,12,,,,,,,,
2312,57.20788062,16.52569387,3830,9,3010,5,,,,,,,,,,,,,,
2697,57.29918845,16.56265716,1352,10,2878,7,3847,13,2612,5,1510,13,2522,12,2078,12,,,,
4,57.42801108,16.61288668,2380,8,1868,13,2566,5,2402,15,3175,8,2966,12,,,,,,
920,57.59007001,16.67584154,325,5,3046,7,,,,,,,,,,,,,,
615,57.71433835,16.72640208,1232,7,3392,9,,,,,,,,,,,,,,
2024,57.80239471,16.76463837,3687,9,2432,9,3101,10,175,10,,,,,,,,,,
251,57.86476271,16.79339457,1456,6,2871,14,2115,14,,,,,,,,,,,,
2517,57.90895261,16.81478266,2914,7,3759,11,866,6,,,,,,,,,,,,
677,57.94118461,16.83097996,3046,15,1887,5,618,11,,,,,,,,,,,,
3743,57.97763096,16.84994564,162,6,1253,8,476,13,2386,8,,,,,,,,,,
2071,58.02873844,16.87773479,1188,9,1771,14,3234,10,617,8,1684,9,1180,6,71,14,2191,13,,
2833,58.10041513,16.91913029,2630,7,705,10,1397,14,3113,7,3046,13,,,,,,,,
866,58.20031903,16.9817618,2517,6,304,8,3046,8,862,6,2901,11,,,,,,,,
1961,58.33934081,17.07913511,1544,12,2772,15,817,11,,,,,,,,,,,,
2772,58.49180439,17.2008899,1961,15,1800,5,1485,5,2914,14,3854,9,1314,10,,,,,,
3855,58.59983184,17.29763358,3527,13,2176,13,,,,,,,,,,,,,,
120,58.6756025,17.37116892,28,5,2858,11,,,,,,,,,,,,,,
476,58.72880924,17.42580452,3743,13,618,6,2758,9,,,,,,,,,,,,
3942,58.76691225,17.4665309,3759,14,3459,5,1291,6,2866,13,,,,,,,,,,
2641,58.80776537,17.5116696,3531,9,2996,5,3687,6,,,,,,,,,,,,
162,58.86470891,17.57670549,3743,6,3854,10,3531,14,,,,,,,,,,,,
45,58.94426023,17.67038241,764,12,3776,10,2805,11,2914,13,1711,14,,,,,,,,
1190,59.05601051,17.80358197,1684,11,3604,10,,,,,,,,,,,,,,
308,59.21484781,17.98423204,28,15,1587,6,2504,6,1977,11,,,,,,,,,,
2821,59.38405044,18.14665812,3524,9,229,15,1587,10,2302,13,,,,,,,,,,
3811,59.5103661,18.23662727,1305,15,3800,15,,,,,,,,,,,,,,
2115,59.63014843,18.29230239,251,14,1800,9,2987,8,3524,14,3759,5,711,8,,,,,,
1082,59.79960373,18.32573413,3234,7,1243,7,352,7,3800,5,,,,,,,,,,
3852,60.01460495,18.3013367,1690,6,2303,15,1977,7,3624,11,3116,8,,,,,,,,
724,60.17743329,18.23690036,2704,13,1232,7,2987,14,,,,,,,,,,,,
1558,60.29042126,18.16913979,1051,14,813,14,71,5,,,,,,,,,,,,
1468,60.37018428,18.109553,1771,9,984,7,,,,,,,,,,,,,,
3543,60.4533091,18.03716082,1485,6,511,9,,,,,,,,,,,,,,
3113,60.56778772,17.92393925,2833,7,1141,10,2037,14,1314,7,,,,,,,,,,
1243,60.72636164,17.75386721,1082,7,175,6,3459,7,,,,,,,,,,,,
1914,60.92095753,17.55484411,3531,10,2303,6,1377,15,1110,7,1188,7,764,9,,,,,,
1091,61.07096054,17.43377773,1456,7,175,8,741,12,1800,14,,,,,,,,,,
3167,61.19161914,17.3689871,2188,12,245,9,573,11,1187,7,,,,,,,,,,
3754,61.34463324,17.32946523,321,13,3116,6,768,14,1425,7,,,,,,,,,,
1395,61.53434386,17.33079411,2996,6,1160,15,3351,14,3046,7,3813,14,,,,,,,,
2877,61.67579735,17.35810528,2122,15,2176,7,680,11,1497,14,2609,5,839,12,,,,,,
2041,61.77579691,17.38714861,2630,12,1291,10,1685,11,,,,,,,,,,,,
2919,61.84674395,17.41139062,678,12,304,6,2704,15,1377,14,2122,6,3116,5,2805,14,2191,11,,
573,61.89694083,17.42994189,3167,11,2914,10,1544,12,448,8,321,8,,,,,,,,
3149,61.93265295,17.44369737,1425,14,976,11,1626,15,3624,9,,,,,,,,,,
1771,61.95800341,17.45369016,2071,14,1468,9,3813,7,,,,,,,,,,,,
3351,61.97600438,17.46088212,1395,14,1377,7,,,,,,,,,,,,,,
1641,61.98879668,17.46603486,3181,10,959,9,1232,13,,,,,,,,,,,,
3032,61.99801237,17.46976597,2015,11,,,,,,,,,,,,,,,,
3825,62.00777108,17.47373326,1187,6,1869,14,767,5,,,,,,,,,,,,
3554,62.02147463,17.47933469,2362,5,222,10,,,,,,,,,,,,,,
3046,62.04075909,17.48728418,920,7,677,15,2833,13,866,8,1395,7,1869,7,,,,,,
1232,62.06784442,17.4985999,615,7,724,7,1641,13,1977,14,3101,8,,,,,,,,
2131,62.10596351,17.51487563,2987,6,1684,14,813,10,1187,5,,,,,,,,,,
3813,62.1594318,17.53854385,1395,14,1771,7,3392,5,810,10,71,9,1392,7,,,,,,
1626,62.23455462,17.57388109,3149,15,2437,7,3125,15,360,13,,,,,,,,,,
617,62.33955273,17.62861279,2071,8,3524,12,862,8,3527,9,,,,,,,,,,
3210,62.48590665,17.71919276,657,11,,,,,,,,,,,,,,,,
657,62.65197282,17.85086268,3210,11,229,14,3000,8,1314,11,768,5,,,,,,,,
3868,62.76923681,17.97007104,1536,15,839,14,3234,12,1800,12,2302,10,3624,15,,,,,,
1887,62.85234697,18.07235562,677,5,2362,7,2704,12,1377,12,,,,,,,,,,
804,62.94440431,18.2063644,2805,15,360,11,,,,,,,,,,,,,,
610,63.06638982,18.41826975,956,7,3604,12,175,9,,,,,,,,,,,,
768,63.19167354,18.67516252,3754,14,657,5,1984,5,1132,10,542,15,,,,,,,,
3531,63.27737124,18.8713703,2641,9,162,14,1914,10,3176,14,1918,5,976,9,,,,,,
3854,63.33643002,19.01465608,2772,9,162,10,175,14,3505,6,2914,12,3985,9,711,11,741,5,,
3247,63.37781018,19.11823419,2901,9,1770,9,1141,15,,,,,,,,,,,,
1141,63.40690554,19.19233426,3113,10,3247,15,222,13,2991,7,767,13,1132,14,1051,10,,,,
1188,63.427543,19.24541535,2071,9,1914,7,2432,12,2987,14,511,15,,,,,,,,
2504,63.44212993,19.28315232,308,6,3101,8,705,9,2498,7,229,5,,,,,,,,
2987,63.45249139,19.31005195,2115,8,724,14,2131,6,1188,14,3928,14,453,6,,,,,,
722,63.45984399,19.32918191,1447,12,2901,14,764,11,,,,,,,,,,,,
321,63.46506266,19.34277872,3754,13,573,8,,,,,,,,,,,,,,
2991,63.46877457,19.35245861,1141,7,3776,8,,,,,,,,,,,,,,
2630,63.47141183,19.35934022,2833,7,2041,12,2544,8,1974,12,,,,,,,,,,
1536,63.47328439,19.36422844,3868,15,229,11,360,11,1392,11,,,,,,,,,,
3687,63.47466075,19.3678224,2024,9,2641,6,222,10,2498,9,956,9,3985,9,,,,,,
1497,63.47624432,19.37195846,2877,14,3899,6,1676,5,,,,,,,,,,,,
3793,63.47847344,19.37778242,571,15,448,15,,,,,,,,,,,,,,
1305,63.48160794,19.38597523,3811,15,3468,8,976,7,2303,9,,,,,,,,,,
1456,63.48601555,19.39750174,251,6,1091,7,2303,12,1072,13,1984,13,931,14,,,,,,
2866,63.49222283,19.4137451,3942,13,2758,15,1291,6,528,6,3125,6,3527,15,,,,,,
2858,63.50093912,19.43657027,120,11,3000,8,3468,13,1074,13,,,,,,,,,,
3800,63.51321652,19.4687403,3811,15,1082,5,571,6,959,10,1180,9,3604,12,,,,,,
360,63.53046968,19.51395134,1626,13,804,11,1536,11,3125,9,870,13,,,,,,,,
2996,63.5547696,19.57753563,2641,5,1395,6,2871,6,618,6,,,,,,,,,,
2122,63.5890998,19.66690489,2877,15,2919,6,680,6,175,9,,,,,,,,,,
1685,63.63785852,19.79213314,2041,11,,,,,,,,,,,,,,,,
448,63.70773227,19.96597009,573,8,3793,15,1977,8,,,,,,,,,,,,
2498,63.80964198,20.2019474,2504,7,3687,9,304,15,542,12,813,9,1684,7,,,,,,
2544,63.94872781,20.47917669,2630,8,1392,12,1132,8,222,6,3624,9,,,,,,,,
764,64.06535844,20.66553373,45,12,1914,9,722,11,222,5,1291,8,,,,,,,,
810,64.1677341,20.79377699,3813,10,3459,7,2914,14,,,,,,,,,,,,
870,64.3108217,20.93099168,360,13,2901,10,3620,6,,,,,,,,,,,,
2758,64.50814974,21.07501038,476,9,2866,15,1180,14,522,10,,,,,,,,,,
1425,64.6708623,21.17879858,3754,7,3149,14,931,6,3125,13,1869,8,,,,,,,,
678,64.78626003,21.25457477,2919,12,1180,5,3392,8,1291,9,,,,,,,,,,
1051,64.86773177,21.31296287,1558,14,1141,10,52,13,2191,8,1795,11,,,,,,,,
522,64.92590007,21.35859525,2758,10,1253,10,1974,12,,,,,,,,,,,,
3459,64.9865735,21.41069531,3942,5,1243,7,810,7,245,15,1676,7,,,,,,,,
1397,64.8844549,24.97224387,2833,14,3604,14,1291,14,2871,13,1795,8,,,,,,,,
618,64.70860402,24.73357999,677,11,476,6,2996,6,3000,10,3234,8,,,,,,,,
2191,64.59374438,24.52043614,2071,13,2919,11,1051,8,168,6,,,,,,,,,,
2362,64.5160254,24.35908878,3554,5,1887,7,1377,5,453,10,,,,,,,,,,
2386,64.46187291,24.24162559,3743,8,1314,6,,,,,,,,,,,,,,
71,64.4237664,24.15758618,2071,14,1558,5,3813,9,453,10,1676,5,,,,,,,,
453,64.39676844,24.09773989,2987,6,2362,10,71,10,956,8,352,6,1160,9,711,8,,,,
959,64.37759584,24.05522166,1641,9,3800,10,168,8,,,,,,,,,,,,
1974,64.36393954,24.02497538,2630,12,522,12,3926,11,711,13,,,,,,,,,,
3776,64.35423748,24.00352364,45,10,2991,8,1918,9,3414,6,3985,7,1869,14,,,,,,
1797,64.34734116,23.98830009,1132,9,931,15,,,,,,,,,,,,,,
2432,64.34222448,23.97702055,2024,9,1188,12,3759,5,52,15,,,,,,,,,,
3260,64.33620702,23.96377364,956,7,2247,8,,,,,,,,,,,,,,
3759,64.32772719,23.94514005,2517,11,3942,14,2115,5,2432,5,984,10,,,,,,,,
